name,job,email,phone,country,salary
Jason Wilson,"Designer, multimedia",mcknightaaron@yahoo.com,+1-517-990-3567x50229,Timor-Leste,12749
Jennifer Collins,"Production designer, theatre/television/film",benjamin03@gmail.com,+1-977-285-5003x5743,Vietnam,12841
Michele Massey,Information officer,dennis19@gmail.com,261-382-8918,Belgium,12904
Daniel Hart,Politician's assistant,rosariomark@hotmail.com,386.633.7789x65763,Monaco,11694
Emily Jefferson,Mental health nurse,melissa96@hotmail.com,(200)684-0229,Christmas Island,8897
Stephanie Morgan,Academic librarian,ellisrobert@gmail.com,+1-270-834-6688x3362,Macao,14740
Cody Fleming,Media buyer,debbiemiranda@gmail.com,001-468-360-8729,Guernsey,7720
Ashley Daniel,"Surveyor, building control",nicholsjon@yahoo.com,705-311-2470x635,Norfolk Island,14188
Rebecca Hall,Clinical psychologist,elambert@gmail.com,706-474-3228x4543,Nauru,11098
Lindsay Baker,"Engineer, maintenance",blakelaura@gmail.com,667-545-2229,Sao Tome and Principe,7779
Kara Young,Police officer,carrjustin@hotmail.com,700-257-1952x41413,Poland,13888
Brian Hunter,Fashion designer,ehinton@hotmail.com,(303)822-3922x624,Malaysia,3210
Morgan Ramirez,Private music teacher,charlesdavis@gmail.com,375-486-3802x372,Botswana,10022
Bradley Williams,Trade mark attorney,hudsonbrenda@yahoo.com,843-872-9640x708,Romania,10703
Jesus Higgins,IT sales professional,tmitchell@hotmail.com,207-231-3232,Cote d'Ivoire,4759
Elizabeth Acosta,Operational researcher,harrisashley@hotmail.com,001-450-721-3779x970,Singapore,12531
Christopher Herrera,Insurance risk surveyor,gordonkevin@hotmail.com,(598)583-8336x18023,Russian Federation,8540
Laura Bryant,Forensic scientist,jacksonjason@yahoo.com,(247)275-7284,Philippines,7316
Michael Fleming,Further education lecturer,skinnerbrett@gmail.com,796-892-5441x5730,Hong Kong,6170
Jeremy Juarez,"Doctor, general practice",cwright@gmail.com,(325)288-6494x5540,Montserrat,5403
Sydney Martin,Homeopath,hharrison@hotmail.com,946.344.3649x103,Cyprus,3881
Ethan Bowman,Clinical research associate,hunter09@hotmail.com,3957549320,Gambia,14402
Mandy Spencer,Careers adviser,lindsaymoran@yahoo.com,+1-674-281-7781x71466,French Southern Territories,8560
Candice Miller,Industrial buyer,tracydonovan@gmail.com,(427)897-5955x89121,Cocos (Keeling) Islands,13395
Gregory Gomez,Media planner,ymitchell@yahoo.com,001-320-876-0857x5741,Saudi Arabia,4652
Renee Webster,Editorial assistant,xdavis@hotmail.com,569-757-4497,Greenland,10052
Shawn Sanchez,Banker,aliciahunter@gmail.com,001-587-763-8225x454,Guernsey,9324
Andrea Erickson,"Designer, graphic",wmcfarland@gmail.com,520.587.7595x893,Niger,14674
David Norris,Public house manager,joshua58@hotmail.com,(851)493-1786x411,Oman,7246
Dr. Karen Singh,Chief Technology Officer,annedavis@gmail.com,805.205.9894,Gibraltar,6668
Adam Carlson,"Engineer, broadcasting (operations)",meredith40@hotmail.com,487-385-9478,Zimbabwe,14693
Darren Carrillo,"Engineer, control and instrumentation",bishopkyle@yahoo.com,001-474-857-9887x480,Bahrain,9311
Allison Burke,Network engineer,christinagallagher@yahoo.com,001-852-745-3337,Saint Pierre and Miquelon,12284
Whitney Adams,Television production assistant,joseph13@hotmail.com,001-982-290-4278,Togo,6709
Erik Collins,Operations geologist,petersonscott@gmail.com,887-818-6149x1851,Cyprus,4285
Laura Stephens,Retail manager,griffinsandra@yahoo.com,001-845-430-9178x1174,Guinea-Bissau,12605
Mario Blackwell,Operational researcher,ycampbell@yahoo.com,+1-759-477-2936x3623,France,10514
Dylan Huang,Risk manager,deborahgibson@yahoo.com,+1-753-747-1356x9530,Croatia,10893
Cindy Murphy,"Biochemist, clinical",steven55@yahoo.com,276.234.9035x87765,Singapore,7213
Tonya Franklin DVM,Water engineer,hannahallen@yahoo.com,3408884046,Ethiopia,13985
Kathryn Jones,Animator,melissamolina@yahoo.com,425-623-8927,Algeria,9745
Christopher Johnson,Historic buildings inspector/conservation officer,david83@yahoo.com,(361)839-0866x7702,Moldova,5130
Anthony Howard,Insurance risk surveyor,omoreno@hotmail.com,381.773.3808x96418,French Southern Territories,11956
Mario Harrison,Fashion designer,nguyenfrank@gmail.com,926.208.5318,Norfolk Island,14522
Eric Burgess,Paramedic,whitakerjulia@yahoo.com,232.875.5243x498,New Zealand,8584
Michael Moore,Chief Executive Officer,hadams@hotmail.com,(848)628-3316,Brunei Darussalam,10211
Wayne Francis,Research scientist (physical sciences),rogersdavid@yahoo.com,(714)718-3862,Micronesia,13636
Christopher Nguyen,Copy,ljones@hotmail.com,001-469-429-1871x735,Iceland,10561
Kristen Turner,Armed forces training and education officer,pmcdonald@hotmail.com,5076704217,French Southern Territories,6978
Kimberly Clark,Management consultant,xreed@gmail.com,557.977.9276,Jamaica,7282
Cindy Espinoza,Translator,connor05@gmail.com,001-858-264-7432x66509,Nigeria,11373
Margaret Martin,Operational researcher,morganmary@yahoo.com,001-815-643-3695x631,Albania,14534
Matthew Wright,Financial trader,nguyendavid@gmail.com,783-312-7033,New Zealand,3849
Phillip Williams,"Surveyor, insurance",lchase@yahoo.com,493-786-7187x0215,Belgium,11633
Alexis Stewart,Multimedia specialist,alee@hotmail.com,001-994-537-8172x14528,Heard Island and McDonald Islands,9705
Lisa Swanson,Optometrist,kimberly04@hotmail.com,+1-783-982-0417x8127,Guernsey,12202
Jonathan Boyd,Environmental education officer,trevor78@gmail.com,884-704-9228x9170,Puerto Rico,14509
Julian Jackson,Special effects artist,ustephens@gmail.com,+1-613-384-3771x66010,Palau,4201
Mary Rosales,Research scientist (medical),richardnichols@hotmail.com,644-570-5028,Vanuatu,3786
